score,content
5,"Aku suka aplikasi ini tapi tambahin yang gratisan dong jangan semuanya bayar terus kalau bisa tulisan face app di hilangin yang di pojok bawah kanan jadi lebih keren tanpa harus menghapus logo saat upload di status,,jadi gambar terasa utuh,,,lalu bisa ga saat ngedit gambarnya tetap jernih ga burem dan ga erubah"
5,"Saya kasih bintang lima deh, soal nya lumayan juga sih editannya ya meskipun banyak fitur efek yang harus berlangganan gitu. Tapi saya tetep suka soalnya hasil editannya ttp bagus pas gunain filter nya itu."
4,Saya kasih bintang 4 saja karena mau pake filter ituh harus bayar deh juga bayarnya mahal banget kemaren geratis sekarang pro proan deh aga sebel sih ya😡 kalo filternya aku lumayan suka sih oh iya yang di kanan bawah jangan ada tulisan faceapp dong soalnya biar ga kaya editan gituh 😪
1,bintang sy turunkan knp iklan utk dpt gratis dihapus sih😟. kmrn msh ada iklannya utk dpt gratis. skrg gk ada sama skali pro. males deh🙄
1,"Saya sudah bayar langganan buat Desember dan tertulis di situ apdate bayar lagi tgl 4 Januari, tapi kenapa app masih belum bisa dipake? Sednagkan pulsa sudah terpotong...app masih saja pro tidak bisa di pake 😡😡😡😡 nipu yaa uang saya balikin...!!!!"
2,"Setiap hampir akhir taun selalu ga bisa edit foto pake iklan lagi, semuanya jadi pro. Tolonglah, pake iklan aja bagi yg ogah bayar pake pro. Kesel deh, bintang 2 aja dah tuh."
5,"Sy senang sekali dgn ada nya aplikasi face app , jd bisa mengedit foto jd bgs dan keren, semoga aplikasi face app semakin banyk d minati👍👍👍,tp mohon kebijaksanaan untuk bs menggunakan aplikasi face app lagi tanpa Pro trima ksh."
1,"Dri sekian bnyak nya yg comment mereka mengandalkan iklan agar semua wajah bisa d edit,tp skrng hars pke pro dan berbayar,,,dri iklan ajj sudah termasuk berbayar lho,,,,ya klo bisa cie balik lg k iklan agar semua nya berminat,,itu ajj cie saran saya"
1,"Dulu mh bagus aplikasinya,,, skrg koq ga bisa² Pdhal udah d update,,, foto udah close up... Tp tetep ga bs d gunakan aplikasi nya... PAYAH Mending sy hapus aj aplikasi nya,, menuh²in memori hp"
1,"Maaf bngt sblum nya saya turun kan rating aplk nya,soalnya semua nya harus memakai pro,dulu saya memakai apk ini jika akan memakai pro harus ada iklan nya itu sudah memudahkan saya tapi ini semuanya harus memakai pro,mohon dikurangi untuk kenyamanan dan ke untungan bersama terimakasih🙏🏻🙏🏻"
1,"Ini aplikasi mulai lagi deh, gak bisa nonton iklan harus pro, parah gak sih?? Yang seharusnya sudah keren dipertahanin dong bukan malah jadi kayak gini lagi."
1,"Saya sudah bayar langganan 1 tahun untuk pro tapi untuk pengeditan video nya kenapa tidak tersedia, mohon penjelasan nya, dan saya sangat kecewa!! 😡😡😡😡"
5,Aku sangat suka sm aplikasi nya sangat membantu tp tolong klo bisa bagi yg baru jgn ada premium nya dong min 👏🥰🥰🥰
2,"Kenapa untuk menu swap face di hilangkan? Justru karena ada menu itu aku suka sekali aplikasi ini, tapi sekarang aku jadi malas pakai dan ga seru lagi, dan aplikasi lain ga ada yang sebagus ini, kenapa....???😔😔"
3,Aplikasi nya bagus. Cuman update terbaru. Kok makin kurang fitur-fitur nya. Di tambahkan video juga. Seperti sebelumnya
